id,volume_pixels,z,y,x,volume_um3
1,1784,7.651345291479821,24.366591928251122,12.984304932735427,1784.0
2,11,12.818181818181818,23.181818181818183,0.6363636363636364,11.0
3,118,17.449152542372882,25.74576271186441,1.7966101694915255,118.0
4,458,12.266375545851528,16.75545851528384,46.96069868995633,458.0
5,176,7.420454545454546,27.625,39.28977272727273,176.0
6,3,5.0,26.0,44.0,3.0
7,3,7.0,24.0,44.0,3.0
8,2,7.5,27.0,40.0,2.0
9,2,11.0,26.5,35.0,2.0
10,4,18.75,25.25,28.25,4.0
11,265,6.962264150943396,38.35094339622641,18.69811320754717,265.0
12,10,0.0,39.3,32.6,10.0
13,26,4.846153846153846,35.15384615384615,28.23076923076923,26.0
14,33,6.878787878787879,29.818181818181817,34.303030303030305,33.0
15,2,5.5,32.0,36.0,2.0
16,3,7.0,28.0,44.0,3.0
17,1,10.0,31.0,36.0,1.0
18,4,11.0,28.0,37.5,4.0
19,63,17.952380952380953,48.06349206349206,41.12698412698413,63.0
